symbol,datetime,high,low,open,close
R_100,2022.02.04 11:09:00,7945.91,7928.27,7928.27,7945.91
R_100,2022.02.04 11:10:00,7945.41,7933.91,7944.73,7933.91
R_100,2022.02.04 11:11:00,7942.42,7931.78,7936.15,7941.36
R_100,2022.02.04 11:12:00,7946.74,7928.12,7940.09,7932.9
R_100,2022.02.04 11:13:00,7937.36,7928.13,7937.36,7935.82
R_100,2022.02.04 11:14:00,7946.65,7931.35,7936.42,7942.06
R_100,2022.02.04 11:15:00,7943.42,7931.5,7940.25,7935.71
R_100,2022.02.04 11:16:00,7940.01,7931.8,7934.08,7937.69
R_100,2022.02.04 11:17:00,7941.95,7927.56,7937.59,7933.12
R_100,2022.02.04 11:18:00,7942.11,7933.36,7935.66,7936.87
R_100,2022.02.04 11:19:00,7954.38,7931.81,7934.19,7954.38
R_100,2022.02.04 11:20:00,7973.69,7950.12,7950.12,7967.9
R_100,2022.02.04 11:21:00,7973.57,7961.28,7971.15,7965.44
R_100,2022.02.04 11:22:00,7980.04,7961.73,7963.22,7979.07
R_100,2022.02.04 11:23:00,7996.63,7979.56,7980.02,7994.26
R_100,2022.02.04 11:24:00,7999.41,7990.71,7992.11,7992.52
R_100,2022.02.04 11:25:00,7999.71,7984.46,7997.87,7993.92
R_100,2022.02.04 11:26:00,7990.77,7977.64,7988.67,7987.01
R_100,2022.02.04 11:27:00,7988.67,7958.59,7988.67,7960.01
R_100,2022.02.04 11:28:00,7965.77,7959.68,7959.98,7965.14
R_100,2022.02.04 11:29:00,7966.26,7950.18,7966.26,7960.83
R_100,2022.02.04 11:30:00,7973.21,7960,7964.5,7963.17
R_100,2022.02.04 11:31:00,7970.25,7955.48,7963.3,7970.25
R_100,2022.02.04 11:32:00,7979.58,7970.14,7971.6,7976.78
R_100,2022.02.04 11:33:00,7982.66,7970.8,7975.79,7970.8
R_100,2022.02.04 11:34:00,7977.91,7960.7,7968.55,7973.93
R_100,2022.02.04 11:35:00,7984.69,7971.68,7973,7977.59
R_100,2022.02.04 11:36:00,7982.52,7974.94,7981.74,7982.52
R_100,2022.02.04 11:37:00,7984.71,7974.6,7982.61,7975.46
R_100,2022.02.04 11:38:00,7976.92,7968.49,7971.34,7968.86
R_100,2022.02.04 11:39:00,7977.17,7959.73,7968.3,7971.66
R_100,2022.02.04 11:40:00,7980.47,7966.88,7971.47,7974.63
R_100,2022.02.04 11:41:00,7978.55,7967.29,7974.52,7969.14
R_100,2022.02.04 11:42:00,7969.89,7957.96,7969.89,7962.87
R_100,2022.02.04 11:43:00,7972.5,7959.1,7960.12,7962.71
R_100,2022.02.04 11:44:00,7979.79,7956.59,7958.67,7973.62
R_100,2022.02.04 11:45:00,7985.54,7968,7970.78,7981.38
R_100,2022.02.04 11:46:00,7997.44,7979.59,7979.59,7991.98
R_100,2022.02.04 11:47:00,8003.07,7989.85,7994.89,7993.49
R_100,2022.02.04 11:48:00,7997.03,7987.94,7995.11,7990.61
R_100,2022.02.04 11:49:00,7996.59,7981.06,7992.45,7984.69
R_100,2022.02.04 11:50:00,7986.68,7967,7983.52,7974.43
R_100,2022.02.04 11:51:00,7983.23,7970.15,7974.52,7970.94
R_100,2022.02.04 11:52:00,7989.19,7967.29,7973.51,7980.93
R_100,2022.02.04 11:53:00,7981.3,7960.46,7980.2,7961.48
R_100,2022.02.04 11:54:00,7965.33,7957.01,7962.18,7959.46
R_100,2022.02.04 11:55:00,7963.44,7953.7,7957.03,7957.34
R_100,2022.02.04 11:56:00,7967.76,7955.05,7957.77,7962.37
R_100,2022.02.04 11:57:00,7975.13,7960.38,7964.46,7966.98
R_100,2022.02.04 11:58:00,7967.19,7956.84,7964.54,7966.17
R_100,2022.02.04 11:59:00,7984.05,7966.61,7968.87,7980.52
R_100,2022.02.04 12:00:00,7996.69,7979.98,7981.5,7989.56
